Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,54.980000,55.330002,54.869999,55.299999,51.474342,12991400
2019-09-04,55.349998,55.919998,55.299999,55.770000,51.911831,10718100
2019-09-05,55.750000,55.770000,55.029999,55.119999,51.306805,13677000
2019-09-06,55.439999,55.439999,54.759998,55.230000,51.409191,9093500
2019-09-09,55.029999,55.080002,54.360001,54.520000,50.748310,10814900
2019-09-10,54.230000,54.439999,53.849998,54.400002,50.636608,12038200
2019-09-11,54.290001,54.799999,53.970001,54.770000,50.981010,9740400
2019-09-12,55.099998,55.310001,54.980000,55.110001,51.297493,12357900
2019-09-13,54.480000,54.790001,54.070000,54.259998,50.875561,11486100
2019-09-16,54.099998,54.340000,53.630001,53.959999,50.594269,11172000
2019-09-17,54.099998,54.700001,53.959999,54.240002,50.856812,11347400
2019-09-18,54.200001,54.290001,53.820000,54.230000,50.847435,9700400
2019-09-19,54.230000,54.599998,54.130001,54.520000,51.119343,7560300
2019-09-20,54.689999,54.689999,53.900002,53.910000,50.547394,19211500
2019-09-23,53.910000,54.360001,53.880001,54.139999,50.763042,6485300
2019-09-24,54.250000,54.610001,54.040001,54.299999,50.913059,10093000
2019-09-25,54.439999,54.480000,54.000000,54.169998,50.791172,10248400
2019-09-26,54.470001,54.580002,54.130001,54.389999,50.997452,10031200
2019-09-27,54.560001,54.639999,54.000000,54.310001,50.922443,7939900
2019-09-30,54.150002,54.680000,54.150002,54.439999,51.044331,9808700
2019-10-01,54.529999,54.779999,54.009998,54.650002,51.241234,14261500
2019-10-02,54.209999,54.439999,52.900002,53.080002,49.769165,14343600
2019-10-03,53.500000,53.980000,52.820000,53.840000,50.481758,13817500
2019-10-04,54.000000,54.540001,53.889999,54.540001,51.138096,9295400
2019-10-07,54.330002,54.360001,53.770000,53.869999,50.509888,5964900
2019-10-08,53.880001,54.070000,53.450001,53.580002,50.237976,13301900
2019-10-09,54.060001,54.070000,53.540001,53.830002,50.472382,7135000
2019-10-10,53.549999,53.880001,53.360001,53.660000,50.312984,8942900
2019-10-11,53.650002,53.700001,53.200001,53.299999,49.975441,8981700
2019-10-14,53.490002,53.680000,53.220001,53.299999,49.975441,7306300
2019-10-15,53.430000,53.680000,53.270000,53.509998,50.172340,9564300
2019-10-16,53.459999,53.570000,53.130001,53.490002,50.153591,10454800
2019-10-17,53.689999,54.119999,53.580002,53.790001,50.434879,13190300
2019-10-18,55.000000,55.389999,54.450001,54.779999,51.363121,18122400
2019-10-21,54.450001,54.560001,53.680000,54.230000,50.847435,12778900
2019-10-22,54.230000,54.419998,53.740002,53.849998,50.491131,9533400
2019-10-23,54.060001,54.660000,54.009998,54.639999,51.231857,8556600
2019-10-24,54.570000,54.820000,54.490002,54.610001,51.203728,11051400
2019-10-25,54.549999,54.560001,53.669998,53.750000,50.397373,9782400
2019-10-28,53.740002,53.950001,53.369999,53.570000,50.228600,8866100
2019-10-29,53.389999,53.660000,53.259998,53.410000,50.078579,7999700
2019-10-30,53.520000,54.049999,53.160000,53.939999,50.575520,8620900
2019-10-31,53.959999,54.470001,53.849998,54.430000,51.034954,13982000
2019-11-01,54.630001,54.740002,53.849998,53.900002,50.538017,9889500
2019-11-04,53.959999,54.000000,52.970001,53.139999,49.825417,17515100
2019-11-05,52.889999,52.889999,52.119999,52.419998,49.150330,19284000
2019-11-06,52.529999,52.799999,52.410000,52.799999,49.506626,13288900
2019-11-07,52.880001,53.000000,51.959999,52.290001,49.028439,11725500
2019-11-08,52.459999,52.599998,52.090000,52.209999,48.953426,7141800
2019-11-11,52.330002,52.369999,51.779999,51.840000,48.606503,8198300
2019-11-12,51.910000,51.910000,51.580002,51.709999,48.484619,12656900
2019-11-13,52.180000,52.450001,51.959999,52.410000,49.140953,12257900
2019-11-14,52.529999,52.669998,52.349998,52.630001,49.347233,8660300
2019-11-15,52.639999,52.680000,52.380001,52.669998,49.384731,8982400
2019-11-18,52.680000,53.439999,52.669998,53.029999,49.722286,13782000
2019-11-19,53.150002,53.310001,52.869999,53.080002,49.769165,12679500
2019-11-20,53.099998,53.400002,53.009998,53.220001,49.900425,11970300
2019-11-21,53.110001,53.340000,52.779999,52.959999,49.656651,7856100
2019-11-22,52.959999,53.189999,52.750000,53.029999,49.722286,9113300
2019-11-25,53.279999,53.389999,52.770000,53.220001,49.900425,10963500
2019-11-26,53.310001,53.939999,53.220001,53.900002,50.538017,13219800
2019-11-27,53.930000,54.099998,53.599998,53.950001,50.584900,9595200
2019-11-29,53.700001,53.730000,53.220001,53.400002,50.443207,7222300
2019-12-02,53.320000,53.750000,52.849998,53.750000,50.773823,13173800
2019-12-03,53.709999,53.840000,53.400002,53.799999,50.821053,14498300
2019-12-04,53.799999,54.310001,53.720001,54.290001,51.283928,13624000
2019-12-05,54.209999,54.290001,53.830002,54.189999,51.189461,14068100
2019-12-06,54.310001,54.500000,54.169998,54.419998,51.406719,7843500
2019-12-09,54.299999,54.509998,54.020000,54.070000,51.076107,13887200
2019-12-10,54.040001,54.070000,53.730000,53.770000,50.792713,8993900
2019-12-11,53.939999,54.150002,53.660000,53.950001,50.962749,8879100
2019-12-12,54.009998,54.450001,53.939999,54.139999,51.142227,11233300
2019-12-13,53.939999,54.549999,53.840000,54.419998,51.406719,13072200
2019-12-16,54.689999,54.830002,54.369999,54.419998,51.406719,9538100
2019-12-17,54.400002,54.580002,54.290001,54.419998,51.406719,9230000
2019-12-18,54.529999,54.750000,53.889999,53.910000,50.924965,15132100
2019-12-19,54.040001,54.340000,53.919998,54.320000,51.312263,13385900
2019-12-20,54.939999,55.200001,54.470001,54.970001,51.926270,23832800
2019-12-23,55.000000,55.240002,54.840000,54.910000,51.869591,9300800
2019-12-24,54.799999,55.000000,54.639999,54.709999,51.680668,3359300
2019-12-26,54.919998,55.020000,54.790001,55.020000,51.973503,6228500
2019-12-27,55.009998,55.450001,55.000000,55.349998,52.285233,6895500
2019-12-30,55.180000,55.389999,55.060001,55.270000,52.209660,6431700
2019-12-31,55.200001,55.380001,54.980000,55.349998,52.285233,7982600
2020-01-02,55.320000,55.430000,54.759998,54.990002,51.945164,11867700
2020-01-03,54.320000,54.990002,54.090000,54.689999,51.661770,11354500
2020-01-06,54.650002,54.910000,54.520000,54.669998,51.642876,14698300
2020-01-07,54.450001,54.599998,54.150002,54.250000,51.246136,9973900
2020-01-08,54.270000,54.639999,54.150002,54.349998,51.340595,10676000
2020-01-09,55.000000,55.400002,54.840000,55.340000,52.275784,15398000
2020-01-10,55.480000,55.930000,55.450001,55.529999,52.455261,13040100
2020-01-13,55.529999,56.230000,55.419998,56.130001,53.022041,14302900
2020-01-14,56.240002,56.290001,55.830002,56.000000,52.899239,16345300
2020-01-15,56.000000,56.980000,56.000000,56.700001,53.560478,17735400
2020-01-16,56.849998,56.950001,56.610001,56.820000,53.673832,10234100
2020-01-17,56.869999,57.150002,56.799999,56.939999,53.787182,14264300
2020-01-21,56.849998,57.250000,56.570000,57.169998,54.004456,11968900
2020-01-22,57.250000,57.639999,57.180000,57.610001,54.420094,12869600
2020-01-23,57.380001,57.849998,57.240002,57.830002,54.627911,12858900
2020-01-24,57.849998,57.869999,57.459999,57.680000,54.486217,8594300
2020-01-27,57.209999,57.849998,57.130001,57.480000,54.297295,14359900
2020-01-28,57.450001,57.750000,56.970001,57.009998,53.853313,15240200
2020-01-29,57.000000,57.259998,56.660000,57.009998,53.853313,13163600
2020-01-30,57.930000,58.980000,57.759998,58.860001,55.600876,20225600
2020-01-31,58.970001,59.080002,58.150002,58.400002,55.166355,17685200
2020-02-03,58.750000,58.970001,58.520000,58.580002,55.336380,12333600
2020-02-04,58.750000,59.450001,58.619999,58.840000,55.581982,15417900
2020-02-05,58.900002,59.080002,58.540001,58.849998,55.591431,11414900
2020-02-06,58.980000,59.340000,58.840000,58.990002,55.723682,9347000
2020-02-07,58.880001,59.320000,58.849998,59.189999,55.912605,8757800
2020-02-10,59.320000,59.840000,59.290001,59.750000,56.441597,7984900
2020-02-11,59.720001,59.799999,59.320000,59.590000,56.290455,7431200
2020-02-12,59.480000,59.770000,59.320000,59.410000,56.120422,9179100
2020-02-13,59.380001,59.840000,59.209999,59.610001,56.309353,8173200
2020-02-14,59.630001,60.070000,59.619999,59.950001,56.630527,9965500
2020-02-18,59.810001,59.930000,59.450001,59.529999,56.233784,10075700
2020-02-19,59.509998,60.000000,59.470001,59.770000,56.460495,6265700
2020-02-20,59.680000,59.860001,59.110001,59.720001,56.413261,7597200
2020-02-21,59.509998,60.130001,59.430000,60.130001,56.800560,10842400
2020-02-24,59.110001,59.799999,58.570000,58.650002,55.402508,14415500
2020-02-25,58.700001,59.200001,57.619999,57.820000,54.618469,15915100
2020-02-26,57.980000,58.470001,57.480000,57.599998,54.410641,15837800
2020-02-27,57.150002,57.889999,54.880001,54.930000,51.888485,23754000
2020-02-28,53.830002,53.889999,51.580002,53.490002,50.528221,40890600
2020-03-02,53.930000,55.959999,53.700001,55.919998,52.823666,25698600
2020-03-03,56.759998,57.490002,55.639999,56.060001,52.955921,27099200
2020-03-04,56.410000,59.000000,56.410000,58.919998,55.657558,20526100
2020-03-05,57.799999,58.169998,56.189999,56.740002,53.598263,17948500
2020-03-06,54.939999,55.910000,53.980000,55.259998,52.200211,22353900
2020-03-09,52.049999,53.580002,51.480000,51.860001,48.988480,27898300
2020-03-10,53.220001,53.799999,51.169998,53.660000,50.688808,27457400
2020-03-11,52.349998,52.650002,51.139999,52.209999,49.319092,22653900
2020-03-12,48.540001,49.930000,46.689999,47.160000,44.548717,31913100
2020-03-13,49.509998,49.560001,46.610001,48.470001,46.187733,33697200
2020-03-16,42.240002,47.880001,41.169998,45.259998,43.128872,28682300
2020-03-17,45.880001,47.500000,45.369999,47.180000,44.958466,32106700
2020-03-18,44.740002,45.150002,41.590000,44.849998,42.738178,35408300
2020-03-19,44.360001,44.660000,41.040001,41.830002,39.860382,41956900
