Date,Open,High,Low,Close,Adj Close,Volume
2019-12-19,136.220001,136.740005,135.949997,136.470001,129.711960,3641700
2019-12-20,137.410004,138.130005,135.160004,137.919998,131.090118,10311300
2019-12-23,137.690002,138.130005,136.839996,137.039993,130.253693,2992900
2019-12-24,137.089996,137.380005,136.270004,136.889999,130.111145,1220600
2019-12-26,136.860001,137.339996,136.100006,136.690002,129.921051,2934700
2019-12-27,136.880005,137.580002,136.630005,137.539993,130.728928,2554000
2019-12-30,136.699997,137.970001,136.479996,136.809998,130.035095,3024700
2019-12-31,136.690002,137.259995,136.029999,136.669998,129.902039,3229400
2020-01-02,136.869995,137.229996,135.139999,135.820007,129.094116,3784100
2020-01-03,135.460007,136.789993,135.130005,135.630005,128.913544,4000100
2020-01-06,135.300003,136.320007,135.199997,136.149994,129.407776,4085100
2020-01-07,136.000000,136.070007,133.949997,134.009995,127.373749,5718100
2020-01-08,134.460007,135.360001,134.070007,134.699997,128.029587,3681400
2020-01-09,135.289993,135.380005,134.529999,134.789993,128.115128,3954700
2020-01-10,135.169998,135.419998,134.389999,134.529999,127.868011,3099500
2020-01-13,134.649994,136.589996,134.630005,136.529999,129.768967,5127200
2020-01-14,136.179993,136.940002,135.699997,136.850006,130.073120,4159700
2020-01-15,137.039993,139.250000,136.800003,139.199997,132.306747,5002600
2020-01-16,139.350006,140.160004,138.600006,139.610001,132.696442,4977900
2020-01-17,140.100006,141.320007,139.899994,141.259995,134.264740,6908700
2020-01-21,140.610001,142.119995,140.339996,141.860001,134.835037,4440000
2020-01-22,141.809998,143.570007,141.720001,143.380005,136.279755,5366100
2020-01-23,143.089996,143.850006,142.369995,143.649994,136.536392,3915700
2020-01-24,143.830002,144.149994,142.449997,142.919998,135.842529,2791500
2020-01-27,141.649994,143.360001,141.050003,142.139999,135.101151,3895300
2020-01-28,142.130005,142.919998,141.759995,142.440002,135.386292,2908300
2020-01-29,142.000000,142.449997,141.169998,141.729996,134.711456,3263200
2020-01-30,142.320007,143.960007,141.520004,143.830002,136.707474,4058500
2020-01-31,143.809998,144.649994,141.570007,142.020004,134.987122,4753100
2020-02-03,142.770004,143.070007,141.839996,142.509995,135.452835,3977800
2020-02-04,143.199997,144.059998,142.100006,143.220001,136.127670,3494300
2020-02-05,143.679993,144.589996,143.429993,144.300003,137.154175,3504900
2020-02-06,144.639999,145.300003,144.070007,144.330002,137.182709,3571400
2020-02-07,144.259995,145.720001,143.830002,145.369995,138.171204,3138500
2020-02-10,145.929993,146.419998,145.130005,145.660004,138.446869,3775600
2020-02-11,146.210007,146.360001,144.869995,146.080002,138.846054,3870500
2020-02-12,146.679993,146.740005,145.350006,146.080002,138.846054,4217400
2020-02-13,145.250000,147.130005,143.520004,146.470001,139.216736,5041400
2020-02-14,146.570007,147.149994,145.940002,146.990005,139.710999,3555600
2020-02-18,147.110001,147.199997,145.399994,145.600006,138.389816,4938700
2020-02-19,145.619995,146.479996,145.490005,145.529999,138.323288,2978800
2020-02-20,145.770004,145.800003,143.949997,145.160004,137.971619,2805900
2020-02-21,145.059998,145.919998,144.809998,145.850006,138.627441,4271800
2020-02-24,145.860001,147.149994,142.559998,142.639999,135.576385,5027700
2020-02-25,142.589996,144.380005,140.570007,141.100006,134.112671,7585800
2020-02-26,142.440002,143.750000,141.160004,141.979996,134.949081,6157200
2020-02-27,141.410004,143.139999,136.309998,136.369995,129.616898,8605000
2020-02-28,133.240005,133.750000,128.350006,132.029999,125.491806,14164000
2020-03-02,132.000000,137.770004,131.720001,137.580002,130.766953,8504500
2020-03-03,137.190002,139.669998,134.740005,135.580002,128.866013,8728300
2020-03-04,136.190002,142.710007,136.009995,142.389999,135.338776,7635700
2020-03-05,138.809998,141.419998,136.669998,138.100006,132.147537,6579100
2020-03-06,131.559998,138.169998,131.449997,137.259995,131.343719,6754900
2020-03-09,130.179993,133.350006,128.179993,130.160004,124.549774,8716300
2020-03-10,132.050003,134.570007,126.860001,134.139999,128.358200,8258600
2020-03-11,130.580002,132.539993,127.629997,129.750000,124.157433,7465100
2020-03-12,122.099998,125.000000,113.589996,115.339996,110.368530,12808300
2020-03-13,120.680000,127.589996,115.070000,127.449997,121.956573,12007700
2020-03-16,114.690002,123.820000,112.000000,113.089996,108.215523,10733300
2020-03-17,116.699997,127.860001,116.389999,127.720001,122.214935,14242300
2020-03-18,120.839996,127.720001,113.769997,120.919998,115.708031,15250800
2020-03-19,121.430000,122.089996,116.059998,117.339996,112.282341,9393500
2020-03-20,118.239998,118.449997,101.419998,103.930000,99.450348,13093200
2020-03-23,106.000000,112.870003,102.870003,105.180000,100.646461,13926800
2020-03-24,109.930000,114.430000,109.370003,113.839996,108.933189,11447000
2020-03-25,112.739998,116.360001,111.040001,112.500000,107.650963,9485500
2020-03-26,112.709999,121.800003,112.580002,120.260002,115.076477,10376800
2020-03-27,118.570000,124.650002,117.989998,120.459999,115.267853,9852500
2020-03-30,121.610001,125.839996,121.510002,125.480003,120.071495,6916800
2020-03-31,124.940002,125.699997,119.529999,120.099998,114.923378,7091700
2020-04-01,117.269997,122.300003,115.669998,118.120003,113.028717,6873000
2020-04-02,117.220001,125.180000,116.480003,123.860001,118.521309,6181800
2020-04-03,123.190002,125.370003,122.440002,124.589996,119.219841,5552000
2020-04-06,128.660004,132.130005,125.290001,131.160004,125.506653,8242200
2020-04-07,132.710007,135.080002,130.289993,130.479996,124.855965,6253900
2020-04-08,129.639999,133.289993,129.130005,132.610001,126.894157,5241100
2020-04-09,132.089996,135.080002,131.509995,133.630005,127.870193,5502400
2020-04-13,131.690002,133.350006,129.429993,130.889999,125.248299,3785000
2020-04-14,133.220001,138.630005,132.350006,138.399994,132.434601,6278700
2020-04-15,137.139999,137.559998,133.699997,135.029999,129.209854,5773100
2020-04-16,136.970001,136.970001,133.850006,135.639999,129.793564,4564000
2020-04-17,137.729996,138.000000,134.910004,137.550003,131.621246,4866500
2020-04-20,136.940002,137.380005,134.509995,134.550003,128.750549,3995400
2020-04-21,132.139999,132.940002,130.589996,130.940002,125.296143,4359500
2020-04-22,132.440002,133.669998,131.220001,132.619995,126.903740,4084600
2020-04-23,132.500000,134.139999,130.029999,130.259995,124.645447,5527700
2020-04-24,130.869995,134.820007,130.649994,134.360001,128.568726,4063100
2020-04-27,134.419998,135.210007,133.889999,134.460007,128.664444,4009200
2020-04-28,136.779999,137.679993,134.660004,136.320007,130.444260,6674200
2020-04-29,136.770004,136.979996,132.899994,133.360001,127.611832,6706800
2020-04-30,132.410004,133.169998,130.419998,132.289993,126.587944,6783000
2020-05-01,131.119995,132.229996,129.520004,130.139999,124.530624,4488000
2020-05-04,130.169998,131.350006,129.320007,130.919998,125.277000,5245300
2020-05-05,131.639999,133.330002,130.770004,131.669998,125.994682,3580000
2020-05-06,131.580002,132.229996,130.690002,130.779999,125.143028,4192200
2020-05-07,131.550003,132.000000,130.119995,131.550003,125.879852,5528000
2020-05-08,133.070007,135.160004,132.460007,134.229996,128.444305,4209100
2020-05-11,133.429993,136.199997,133.169998,134.380005,128.587875,3591100
2020-05-12,134.759995,136.380005,132.860001,132.940002,127.209946,3914600
2020-05-13,133.179993,134.470001,131.449997,132.960007,127.229080,5168500
2020-05-14,132.710007,133.559998,130.149994,133.080002,127.343903,5522200
2020-05-15,133.770004,137.660004,132.789993,135.949997,130.090195,20338200
2020-05-18,136.850006,137.990005,135.059998,135.520004,129.678757,8480300
2020-05-19,134.429993,134.759995,131.399994,131.729996,126.052094,6640300
2020-05-20,132.539993,132.679993,130.339996,131.259995,125.602333,8213100
2020-05-21,130.979996,131.440002,129.610001,130.210007,124.597618,4886300
2020-05-22,129.610001,130.630005,129.169998,130.479996,124.855965,3429200
2020-05-26,131.940002,132.050003,129.399994,129.750000,124.157433,5579300
2020-05-27,129.720001,130.839996,128.580002,130.809998,125.171738,5686500
2020-05-28,131.210007,132.729996,130.110001,132.289993,126.587944,4974400
2020-05-29,132.009995,132.240005,130.320007,131.550003,125.879852,13337900
2020-06-01,131.600006,133.949997,131.190002,132.990005,127.257805,4049200
2020-06-02,133.050003,133.809998,131.119995,132.630005,126.913315,5327500
2020-06-03,133.240005,134.279999,132.600006,132.820007,127.095131,5421200
2020-06-04,131.589996,133.559998,130.179993,130.570007,125.911896,5229700
2020-06-05,131.000000,133.520004,130.770004,132.440002,127.715164,7075700
2020-06-08,131.380005,132.470001,131.240005,132.210007,127.493370,5613000
2020-06-09,131.830002,133.149994,131.050003,132.970001,128.226257,6446900
2020-06-10,133.279999,135.160004,133.169998,134.130005,129.344894,7069900
2020-06-11,134.220001,135.139999,127.459999,127.839996,123.279274,8541000
2020-06-12,129.149994,129.929993,127.430000,129.000000,124.397896,7039500
2020-06-15,128.289993,130.960007,126.529999,130.479996,125.825089,5481000
2020-06-16,132.679993,133.059998,130.119995,131.669998,126.972641,5197700
2020-06-17,131.889999,133.039993,131.490005,131.759995,127.059425,3309700
2020-06-18,131.419998,133.130005,130.630005,132.779999,128.043045,3417200
2020-06-19,134.410004,134.820007,131.220001,131.279999,126.596542,8310100
2020-06-22,130.550003,131.759995,129.949997,131.050003,126.374771,3379900
2020-06-23,131.619995,132.679993,130.979996,131.360001,126.673691,3625600
2020-06-24,130.520004,131.070007,128.679993,129.559998,124.937920,4853500
2020-06-25,129.139999,131.729996,128.050003,131.410004,126.721931,4442000
2020-06-26,131.679993,132.369995,128.059998,128.929993,124.330383,7372700
2020-06-29,130.179993,131.399994,129.429993,131.080002,126.403694,4173900
2020-06-30,131.830002,132.820007,130.850006,132.259995,127.541611,4626700
2020-07-01,132.529999,133.619995,131.940002,132.360001,127.638023,3633000
2020-07-02,133.539993,134.169998,132.539993,132.850006,128.110550,2769200
2020-07-06,133.080002,133.949997,132.309998,133.300003,128.544495,4221600
2020-07-07,132.270004,134.619995,132.169998,133.570007,128.804871,4424500
2020-07-08,134.160004,134.690002,133.160004,134.220001,129.431671,3798200
2020-07-09,132.899994,133.940002,131.729996,132.710007,127.975548,4005200
2020-07-10,132.369995,134.889999,131.279999,134.460007,129.663116,5932800
2020-07-13,136.770004,138.070007,134.470001,134.910004,130.097061,8960000
2020-07-14,134.589996,136.949997,134.250000,135.520004,130.685287,6766800
2020-07-15,135.350006,136.190002,133.250000,133.690002,128.920593,5561300
2020-07-16,134.059998,134.360001,133.050003,133.880005,129.103821,3788100
2020-07-17,134.649994,135.059998,133.550003,134.660004,129.855972,3229300
2020-07-20,134.610001,134.610001,132.179993,133.110001,128.361282,3620300
2020-07-21,134.000000,136.410004,133.789993,134.429993,129.634186,5435400
2020-07-22,135.559998,136.250000,133.679993,136.009995,131.157791,3522300
2020-07-23,136.589996,137.250000,135.490005,137.080002,132.189651,5011400
2020-07-24,136.990005,138.639999,135.389999,136.059998,131.206024,3300000
2020-07-27,135.529999,137.759995,134.850006,137.669998,132.758575,3607700
2020-07-28,137.979996,138.589996,137.089996,137.380005,132.478943,3787500
2020-07-29,137.380005,139.000000,137.039993,137.929993,133.009323,3179000
2020-07-30,137.240005,138.220001,136.479996,137.690002,132.777863,2817600
2020-07-31,137.259995,137.699997,135.199997,137.660004,132.748962,4304100
2020-08-03,137.110001,137.500000,136.000000,136.699997,131.823181,2819200
2020-08-04,137.520004,137.589996,136.020004,137.470001,132.565720,2553500
2020-08-05,138.149994,138.149994,135.770004,136.250000,131.389267,2924000
2020-08-06,135.270004,136.289993,135.270004,135.860001,131.013184,2692900
2020-08-07,135.940002,136.759995,135.369995,136.740005,131.861771,3692100
2020-08-10,136.320007,136.880005,135.380005,135.979996,131.128860,3052000
2020-08-11,136.970001,137.449997,134.619995,135.119995,130.299561,3301200
2020-08-12,135.339996,138.679993,135.250000,137.800003,132.883942,4424600
2020-08-13,137.100006,138.610001,137.100006,138.100006,133.173264,2393500
2020-08-14,138.110001,138.169998,137.199997,137.559998,132.652496,2461700
2020-08-17,137.500000,138.889999,137.050003,137.919998,132.999664,2862500
2020-08-18,138.610001,138.610001,137.039993,138.110001,133.182892,2638600
2020-08-19,138.690002,138.789993,136.100006,136.449997,131.582092,3682200
2020-08-20,135.660004,137.149994,135.630005,136.720001,131.842484,2263000
2020-08-21,136.369995,136.660004,135.250000,136.460007,131.591751,4295600
2020-08-24,136.460007,137.679993,136.110001,137.639999,132.729645,3177800
2020-08-25,138.259995,138.380005,136.699997,137.300003,132.401794,2597400
2020-08-26,136.580002,138.660004,136.380005,138.470001,133.530045,6019700
2020-08-27,138.710007,139.929993,137.910004,138.399994,133.462540,4159300
2020-08-28,138.520004,139.960007,137.240005,139.940002,134.947617,3355400
2020-08-31,139.320007,141.020004,139.000000,140.059998,135.063309,3828700
2020-09-01,140.250000,140.479996,138.509995,139.190002,134.224365,3421700
2020-09-02,139.520004,143.820007,139.350006,143.289993,138.178085,4918200
2020-09-03,142.770004,144.039993,138.119995,139.369995,135.364349,6642400
2020-09-04,139.660004,140.309998,136.940002,138.759995,134.771896,4836400
2020-09-08,138.309998,138.630005,134.410004,135.550003,131.654144,4901500
2020-09-09,135.500000,138.460007,135.399994,137.110001,133.169296,4282300
2020-09-10,136.600006,137.550003,133.880005,134.759995,130.886841,6050500
2020-09-11,135.220001,136.380005,134.229996,135.809998,131.906677,3411900
2020-09-14,136.529999,137.500000,135.800003,136.669998,132.741959,2779000
2020-09-15,136.479996,137.240005,135.410004,135.619995,131.722137,4080800
2020-09-16,136.279999,136.600006,134.779999,134.979996,131.100540,3353500
2020-09-17,133.389999,134.550003,131.690002,133.199997,129.371674,5186400
2020-09-18,133.710007,134.789993,130.009995,131.470001,127.691406,8473000
2020-09-21,130.369995,131.309998,129.360001,131.240005,127.468025,4402700
